forecast_date,MAE,RMSE,SMAPE_%
2023-03-20,0.2091655057217047,0.2400173618125163,6.515419729888189
2023-03-21,0.23751226641425785,0.30218384714019303,5.39574314570567
2023-03-22,0.31096712535699617,0.4116942251221293,7.217474263677183
2023-03-23,0.18492722892159513,0.24837992663250197,4.546302067335313
2023-03-24,0.2697361331369985,0.34229844705028817,5.936045636002848
2023-03-25,0.2574669911327313,0.36901205920673064,5.469491644486415
2023-03-26,0.22307561261875244,0.35210425427327907,4.253896065275149
2023-03-27,0.22642374278335536,0.3293177756234003,5.191381955963205
2023-03-28,0.2474306492948014,0.37913702617034434,4.786906231991804
2023-03-29,0.3369439320629343,0.47830242846062965,6.462604465624722
2023-03-30,0.3408768825753973,0.5122055872484627,6.386096668631573
2023-03-31,0.33291060175489245,0.4999316819497645,6.536405523388325
2023-04-01,0.2634685536598338,0.3810683106807673,5.177419708230091
2023-04-02,0.27006705864491864,0.3772880378607411,5.1532003141623255
