Model,MAE,RMSE,SMAPE_%
LightGBM (ours),0.2650694488627978,0.37306721208798205,5.644884815740201
XGBoost,0.3594018148426504,0.4793806027158713,7.940519545784401
MLP (2-layer),0.3748104191636028,0.5170782925444838,8.3121471606057
Avg Baseline,0.45301070953230227,0.6375587278967848,8.714728610538454
Ridge Regression,0.45576575009811277,0.6985754650630502,9.851125553548762
